"ICPF.Nr","sample_date","latitude","longitude","elevation","plot_size","tree_species","soil_type","mean_age","root_density","defoliation","ozone_symptoms","code_yield_rel","mass_100_leaves","mass_1000_needles","foliar_n","foliar_s","foliar_p","foliar_n_p_ratio","foliar_ca","foliar_mg","foliar_k","foliar_na","foliar_c","foliar_zn","foliar_mn","foliar_fe","foliar_cu","foliar_pb","foliar_cd","foliar_b","foliar_al_ratio","dep_oa_ph","dep_oa_conductivity","dep_oa_k","dep_oa_ca","dep_oa_mg","dep_oa_na","dep_oa_nh4","dep_oa_cl","dep_oa_so4","dep_oa_alkalinity","dep_oa_n_total","dep_tf_ph","dep_tf_conductivity","dep_tf_k","dep_tf_ca","dep_tf_mg","dep_tf_na","dep_tf_nh4","dep_tf_cl","dep_tf_no3","dep_tf_so4","dep_tf_alkalinity","dep_tf_n_total","mean_air_temperature","mean_precipitation","min_air_temperature","max_air_temperature","mean_solar_radiation","growth_season_length","ss_030_depth","ss_030_ph","ss_030_k","ss_030_ca","ss_030_mg","ss_030_no3","ss_030_so4","ss_030_alkalinity","ss_030_al","ss_030_doc","ss_030_water_content","ss_030_na","ss_030_al_labile","ss_030_fe","ss_030_mn","ss_030_p","ss_030_nh4","ss_030_cl","ss_3060_depth","ss_3060_ph","ss_3060_k","ss_3060_ca","ss_3060_mg","ss_3060_no3","ss_3060_so4","ss_3060_alkalinity","ss_3060_al","ss_3060_doc","ss_3060_water_content","ss_3060_na","ss_3060_al_labile","ss_3060_fe","ss_3060_mn","ss_3060_p","ss_3060_nh4","ss_3060_cl","part_size_clay_mineral","part_size_silt_mineral","part_size_sand_mineral","bulk_density_mineral","coarse_fragment_vol_mineral","coarse_fragment_mass_mineral","ph_cacl2_mineral","ph_h2o_mineral","organic_carbon_total_mineral","n_total_mineral","cn_mineral","exch_acidiy_mineral","exch_al_mineral","exch_ca_mineral","exch_fe_mineral","exch_k_mineral","exch_mg_mineral","exch_mn_mineral","exch_na_mineral","free_h_mineral","extrac_al_mineral","extrac_ca_mineral","extrac_cd_mineral","extrac_cr_mineral","extrac_cu_mineral","extrac_fe_mineral","extrac_hg_mineral","extrac_k_mineral","extrac_mg_mineral","extrac_mn_mineral","extrac_na_mineral","extrac_ni_mineral","extrac_p_mineral","extrac_pb_mineral","extrac_s_mineral","extrac_zn_mineral","rea_al_mineral","rea_fe_mineral","exch_bce_mineral","exch_ace_mineral","exch_cec_mineral","bs_mineral","thickness_organic","organic_layer_weight_organic","ph_cacl2_organic","ph_h2o_organic","organic_carbon_total_organic","n_total_organic","cn_organic","exch_acidiy_organic","exch_al_organic","exch_ca_organic","exch_fe_organic","exch_k_organic","exch_mg_organic","exch_mn_organic","exch_na_organic","free_h_organic","extrac_al_organic","extrac_ca_organic","extrac_cd_organic","extrac_cr_organic","extrac_cu_organic","extrac_fe_organic","extrac_hg_organic","extrac_k_organic","extrac_mg_organic","extrac_mn_organic","extrac_na_organic","extrac_ni_organic","extrac_p_organic","extrac_pb_organic","extrac_s_organic","extrac_zn_organic","rea_al_organic","rea_fe_organic","exch_bce_organic","exch_ace_organic","exch_cec_organic","bs_organic"
"1_6","",50.17111111,3.754444444,3,0.5,"OAK"," Stagnic Luvisol","61 - 80",0.256317853,32.0833333333333,0.0181818181818182,2,20.0545454545455,NA,26.7409090909091,1.61909090909091,1.54090909090909,17.4652804296877,6.82818181818182,1.55727272727273,8.97909090909091,83.8571428571429,52.2,18.6909090909091,1192.72727272727,104.845454545455,9.83727272727273,14,64.4,28.7,53.2957142857143,5.41501831501832,21.1301831501832,0.196074074074074,0.623892988929889,0.136925925925926,0.901761029411765,0.810203703703704,1.53850915750916,0.526545787545788,22.8376237623762,1.54678947368421,5.74615384615385,58.7509157509158,39.6666593809524,9.65145685714286,4.13368742857143,11.3287587285714,9.12675173333333,23.244155,2.86616103809524,8.96277404285714,160.392021959522,16.4956578882353,10.0309019050973,845.116666666667,-10.75,32.8357142857143,NA,297.909090909091,0.2,6.25574468085106,0.132679653679654,8.40648706896552,2.03334051724138,2.88325,4.31723706896552,48.1,0.0820991379310345,3.66969072164948,NA,3.99059913793103,NA,0.00734883720930233,0.0609090909090909,NA,0.0144620253164557,6.87636206896552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.73,79.56,3.71,974.3,0,NA,3.696,4.3,29.7,2.148,NA,4.699,4.352,1.4342,0.09645,0.1725,0.4594,0.12006,0.03705,-0.2684,NA,NA,0.172,26.56,8.48,NA,NA,NA,NA,NA,NA,12.86,NA,37.2,NA,49.26,1963,5268,NA,NA,NA,NA,NA,0.4374,NA,NA,481.8,15.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1_16","",48.17805556,-1.533611111,2,0.49,"OAK","stagnic luvisol","81 - 100",0.830285988,19.8770491803279,0,3,28.0181818181818,NA,25.4590909090909,1.42545454545455,1.15636363636364,22.4193883884341,5.05818181818182,1.28727272727273,7.17909090909091,122,51.7666666666667,15.0627272727273,2795.45454545455,87.1090909090909,7.54090909090909,5.72,NA,18,71.4271428571429,5.72095588235294,20.8880147058824,0.269368029739777,0.455514705882353,0.200817843866171,1.45335661764706,0.668762081784387,2.55825367647059,0.320483394833948,16.6036585365854,1.25518421052632,5.96679487179487,60.6698717948718,26.3255269333333,5.75832946666667,3.3879916,15.9794836666667,7.63653253333333,33.7329054666667,2.64694926666667,5.8124502,119.562573204573,13.4695564545455,11.3799950413257,792,-5.9375,33.0375,NA,328.666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.66,60.57,21.77,1026.4,6.3,NA,3.3645,4.4275,224.22,9.92785,NA,6.0305,2.1867,3.8083,0.18096,0.69604,2.76414,1.112195,0.26602,2.19965,NA,1867.4,0.134666666666667,9.52466666666667,8.70133333333333,NA,NA,1207,796.6,1092.1,NA,5.286,692.6,18.3086666666667,NA,35.38,1392,3697,NA,NA,NA,NA,NA,1.96693333333333,3.158,4.2925,448.933333333333,18.0466666666667,NA,8.454,1.3014,8.07,0.20555,1.7387,5.373,2.3924,0.4904,4.554,NA,1867.4,0.182,5.947,9.781,NA,NA,1207,796.6,1092.1,NA,4.978,692.6,17.183,NA,39.26,NA,NA,NA,NA,NA,NA
"1_17","",47.56916667,1.26,3,0.48,"OAK"," Stagnic Luvisol","81 - 100",0.732596796,22.2357723577236,0.015748031496063,2,26.8,NA,24.4754545454545,1.41545454545455,1.24818181818182,19.9656868466896,6.53181818181818,1.68727272727273,8.13818181818182,83.8571428571429,54.4333333333333,15.0027272727273,2789.27272727273,90.9272727272727,6.81181818181818,9.53,55.5,15.4,73.8128571428571,5.7,17.2425,0.216877323420074,0.722860294117647,0.106127819548872,0.744507352941176,0.611527881040892,1.28504044117647,0.413970588235294,27.8398734177215,0.929105263157895,5.83458485958486,42.7366605616606,17.5335676190476,7.19438107142857,2.09358695238095,6.93616044285714,3.02907284210526,16.1780554809524,2.2466764047619,3.53031957619048,109.916269532936,6.975539,11.4319166863117,722.875,-8.82857142857143,34.9428571428571,NA,313,0.2,5.15180722891566,0.458310975609756,0.789359756097561,1.10173170731707,0.0182666666666667,1.7742256097561,17.5523255813953,0.220814814814815,7.67732307692308,NA,3.76063414634146,NA,0.0115,0.0941049382716049,NA,0.0141769911504425,5.66682317073171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.11,54.05,31.84,1244.7,0,NA,3.86785714285714,4.5375,101.757142857143,4.42521428571429,NA,4.62214285714286,2.09336428571429,5.433,-0.0888285714285714,0.655807142857143,1.66542857142857,1.60245714285714,0.0923928571428571,0.374714285714286,NA,4857.5,0.152222222222222,16.4033333333333,6.03666666666667,NA,NA,1485,1029,2779.25,NA,7.53444444444444,657.5,19.5222222222222,NA,30.8555555555556,1374.6,3108,NA,NA,NA,NA,NA,1.14783333333333,4.32857142857143,4.824,395.416666666667,13.4,NA,7.39857142857143,0.556728571428571,19.9257142857143,-0.250014285714286,2.01714285714286,5.48,4.37714285714286,0.248571428571429,2.43285714285714,NA,6002.85714285714,0.287142857142857,7.91,9.75428571428571,NA,NA,1497.14285714286,1057.28571428571,2989.57142857143,NA,6.37428571428571,716.142857142857,16.4571428571429,NA,43.2571428571429,NA,NA,NA,NA,NA,NA
"1_30","",48.45388889,2.717222222,2,0.49,"OAK","Cutanic Luvisol","81 - 100",0.268910976,NA,0,2,31.5363636363636,NA,23.6681818181818,1.36636363636364,1.03272727272727,23.3641054464148,6.66363636363636,1.29454545454545,7.67727272727273,56.1428571428571,52.2333333333333,16.0009090909091,1435.54545454545,83.2909090909091,10.8027272727273,5.2,NA,7.64,62.6585714285714,5.51397058823529,15.9909558823529,0.222444444444444,0.648636029411765,0.08292,0.564007407407407,0.563704119850187,0.993610294117647,0.432147058823529,24.2151785714286,1.00834210526316,5.83553113553114,56.8891025641026,17.180180047619,10.2101640619048,2.59517452380952,6.35831302380952,4.106964755,15.697776952381,2.95565745238095,4.47861839047619,129.562079124579,9.64001547058824,NA,NA,NA,NA,NA,NA,0.2,4.86153846153846,2.91303720930233,7.8759212962963,1.88712962962963,9.14476388888889,2.02798148148148,24.952380952381,2.89214018691589,19.9948876404494,NA,2.82875925925926,NA,0.147464788732394,1.28757009345794,NA,0.0487784090909091,4.58768372093023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,12.75,83.45,1281.6,0,0.15,3.96,4.62,9.405,0.548,16.75,0.869,0.562,0.525,0.012,0.0425,0.0705,0.214,0.014,0.11,2580,276.8,0.244,5.34,2.14,2162,0.042,456.8,222.1,299.2,45.4,2.27,70.85,13.36,97.5,10.3,495.4,591.4,0.652,0.898,1.55,37.954,NA,0.829,4.36,4.93,395.7,13.464,29.7,3.888,0.074,25.52,0.01,1.41,4.434,2.276,0.174,1.528,NA,7954,0.332,5.14,10.95,NA,NA,937.6,747.2,2758,NA,5.1,603.4,16.26,NA,39.64,125.8,275.2,31.538,3.888,35.426,88.898
"1_37","10/07/2015",49.9475,4.809722222,10,0.52,"SPRUCE","Carbic Podzol","21 - 40",0.608853003,8.9344262295082,0.101694915254237,2,NA,4.78913043478261,15.8886956521739,0.898913043478261,1.24086956521739,13.0039935832277,2.10130434782609,0.623217391304348,5.28173913043478,60.2142857142857,53.0142857142857,20.2173913043478,760.304347826087,68.6130434782609,3.02565217391304,7.53,47.2666666666667,16.7333333333333,113.64,5.4032967032967,19.1408058608059,0.293901515151515,0.412655677655678,0.0940449438202247,0.6246875,0.787952205882353,1.16495604395604,0.500461538461539,31.2194174757282,1.40260526315789,5.18534798534799,56.3040293040293,26.8076469047619,10.0413921333333,2.72104828571429,16.2975544285714,9.4785595047619,30.6949618571429,9.38149644285714,14.6778472095238,106.726395363895,20.9263907647059,8.92968422403263,1224.26363636364,-9.8,31.1285714285714,114.903815762796,265.666666666667,0.2,4.38847926267281,0.229555555555556,0.27950462962963,0.194674418604651,1.99999537037037,1.6312037037037,-1.94117647058824,1.76617840375587,5.31525,NA,1.88609259259259,NA,0.0838894230769231,0.197603773584906,NA,0.0326265060240964,2.76785648148148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.35,59.45,20.2,976.8,NA,8.47,3.595,3.96,40.53,2.5,15.75,5.798,5.105,0.0735,0.229,0.0845,0.084,0.052,0.036,0.43,16820,240.8,0.194,25.94,19.48,24700,0.114,3277,766.1,234.3,332.2,4.77,356.3,68.1,389.8,28.6,3538,6442,0.278,5.816,6.094,4.08,NA,3.214,2.87,3.77,499.875,18.815,27.8,10.56,3.84,6.502,0.394,0.878,1.838,0.426,0.226,5.904,NA,1397.7,0.586,10.07,17.88,NA,NA,841.3,393.2,149.3185100431,NA,9.53,832.3,148.16,NA,85.18,1182.8,1154.1344235,9.442,10.566,20.006,46.5825402539
"1_41","22/10/2013",45.75555556,2.966111111,19,0.51,"SPRUCE","Haplic Andosol","21 - 40",0.460283763,5.77868852459016,0.0810810810810811,2,NA,7.23347826086956,13.6708695652174,0.826826086956522,1.40739130434783,9.87955749445166,6.18,1.28826086956522,4.05739130434783,42.3076923076923,52.0142857142857,26.3130434782609,594.521739130435,36.7391304347826,2.44086956521739,8.02666666666667,32.8,8.68,102.059285714286,5.72857142857143,12.9813553113553,0.161335877862595,0.46327037037037,0.064859437751004,0.421091911764706,0.589940959409594,0.705238095238095,0.31640293040293,29.1166666666667,0.782657894736842,5.34102564102564,40.7714285714286,13.9120438571429,7.74077948571429,2.52742319047619,7.97972689047619,2.57027328571429,15.8089970380952,4.33697066666667,4.2409311,35.2434550743374,9.08350882352941,7.77100343047727,1016.16363636364,-14.8928571428571,30.8071428571429,NA,250.636363636364,0.2,6.25111111111111,0.120330316742081,1.30460538116592,0.750807174887892,0.431942307692308,1.40778923766816,33.7198113207547,0.008,1.62363333333333,NA,2.80519730941704,NA,0.00477272727272727,0.00516666666666667,NA,0.0796502732240437,3.06533632286996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.9,45.3,30.8,426,NA,0.85,4.23,4.605,159.53,9.429,16.65,5.228,4.937,1.459,0.13,0.179,0.475,0.163,0.076,0.05,41180,3195,0.572,27.52,13.56,44240,0.172,930.1,4093,1333,703.2,17.9,1595,78.68,1276,106.16,32910,16080,2.189,5.28,7.469,29.802,NA,1.773,3.8,4.57,465.145,12.849,40.15,8.552,6.12,14.796,0.146,0.708,3.21,1.002,0.214,1.288,NA,4506.7,0.254,13.01,9.94,NA,NA,718.2,1674,794.7393429955,NA,9.77,1147.2,40.46,NA,75.55,9510.4,5644.3793623,18.924,8.556,27.482,68.015771558
"1_46","23/10/2013",45.8,1.815277778,13,0.5,"SPRUCE","Carbic Podzol","21 - 40",0.654537002,3.91304347826087,0,2,NA,5.25,14.6981818181818,0.857772727272727,1.385,10.7068584975227,2.18045454545455,0.974590909090909,5.99,37.1818181818182,53.0142857142857,14.8859090909091,396.136363636364,36.0545454545455,2.53590909090909,4.24333333333333,NA,15.3333333333333,182.184615384615,5.43699633699634,13.3624175824176,0.187111111111111,0.377860805860806,0.0814341085271318,0.61307326007326,0.402123134328358,1.09469597069597,0.280076923076923,17.3125,0.71821052631579,5.52533577533578,37.2344322344322,22.9482737619048,6.301895,2.89755319047619,13.4092476190476,3.06525015,26.3774242857143,4.76768385714286,5.209867,40.9268371751705,10.9656282941176,9.423546407621,1259.97777777778,-9.91428571428571,32.4428571428571,NA,280.5,0.2,4.89656862745098,0.22855614973262,0.299218905472637,0.27371,0.100978609625668,0.763835820895522,9.38571428571429,0.595897959183673,6.28369642857143,NA,2.43347263681592,NA,0.0548846153846154,0.00770149253731343,NA,0.0213385826771654,3.65521393034826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.65,16.9,65.45,662.3,NA,1,3.57,4.19,83.62,4.801,17.35,7.857,7.276,0.322,0.231,0.127,0.225,0.017,0.066,0.356,15180,192.3,0.152,8.54,3.9,11040,0.088,1821,740.6,74.07,190.8,5.17,436.6,29,559.8,33.44,5134,4238,0.74,7.88,8.62,8.005,NA,2.187,3.09,3.96,445.1,13.352,36.5,10.482,6.314,6.172,0.48,0.706,2.45,0.302,0.296,3.362,NA,1421.2,0.218,5.62,6.26,NA,NA,1229,666.8,114.06,NA,4.58,758.2,28,NA,47.66,2398,2124,9.624,10.458,20.082,47.51
"1_57","24/10/2013",44.11527778,3.543333333,28,0.49,"BEECH","Carbic Podzol","81 - 100",0.82530757,26.3414634146341,0.486338797814208,2,8.93545454545455,NA,28.4536363636364,1.66818181818182,1.24363636363636,23.9264156150755,8.53363636363636,0.988636363636364,8.74545454545455,116.142857142857,51.8333333333333,26.0909090909091,975.818181818182,115.409090909091,8.76818181818182,1.25,58.2,12.6,143.471428571429,5.50732600732601,16.4071794871795,0.173306772908367,0.819686346863469,0.103764705882353,0.597415441176471,0.404485185185185,0.926637362637363,0.362417582417582,29.4725663716814,0.719078947368421,5.82515262515262,30.1783333333333,17.3665843333333,17.1749467952381,2.87400457142857,15.2323200714286,6.21180608,26.1459060571429,7.20176885714286,10.9448176761905,75.6992411097674,14.3537659117647,6.9602220419542,2209.89230769231,-12.4285714285714,28.6642857142857,NA,232.583333333333,0.2,5.07162790697674,1.50434418604651,1.3131488372093,0.343767441860465,0.98713488372093,0.814502325581395,37.6571428571429,0.289164319248826,6.27156666666667,NA,1.29506046511628,NA,0.0216134020618557,0.044830985915493,NA,0.316098958333333,2.54686511627907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6,30.75,49.65,597.7,NA,28.02,3.74,4.22,79.58,3.935,20.45,6.74,6.206,1.075,0.194,0.172,0.303,0.096,0.039,0.261,31620,400.7,0.196,44.58,16.9,38560,0.098,5238,4677,482.3,183.6,18.24,478,78.5,533.6,86.22,5577,13502,1.589,6.757,8.346,17.976,NA,2.041,3.82,4.48,421.73,15.219,27.85,4.6,1.536,20.262,0.144,1.026,2.696,1.356,0.188,1.564,NA,4883.7,0.504,20.92,17.41,NA,NA,2787.4,2361.7,847.9308801929,NA,12.79,849,94.44,NA,92.93,1762,3724.813471,24.176,4.6,28.774,83.3400115248
"1_63","15/08/2014",43.15027778,-0.658055556,8,0.51,"BEECH","Haplic Cambisol","41 - 60",0.550103807,19.0495867768595,0.0228571428571429,2,15.1727272727273,NA,25.2681818181818,1.48545454545455,0.96,26.5120916729842,10.61,1.21618181818182,7.80909090909091,184.285714285714,52.4333333333333,19.7545454545455,864.090909090909,124.372727272727,6.37727272727273,14.5,71.5,17.7,156.985714285714,5.45970695970696,19.421684981685,0.145801526717557,0.66167032967033,0.157910447761194,1.08842857142857,0.509780669144981,1.78668864468864,0.361355311355311,22.9609090909091,0.812157894736842,5.87948717948718,38.110989010989,18.7400897619048,10.3083054666667,2.72252552380952,13.7061570095238,3.52413171428571,26.4980077619048,4.70012768571429,7.95582037142857,41.9845971280182,9.39456835294118,13.187733229042,1374.37142857143,-5.47857142857143,36.0785714285714,NA,338.928571428571,0.2,5.74560669456067,0.421300847457627,3.41206355932203,1.031,2.33551709401709,1.34643220338983,16.0539459459459,0.144416666666667,1.11595428571429,NA,2.697,NA,0.00503333333333333,0.1107,NA,0.0202335025380711,3.99183898305085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,54.85,6.15,1132.8,NA,0.58,4.165,4.96,23.76,1.787,13.2,2.141,1.723,3.923,0.01,0.185,0.847,0.351,0.074,0.091,28480,1088.2,0.138,39.4,16.62,27600,0.084,4032,2536,902.6,604,21.92,164.8,33.62,224.4,58.88,3019,8224,5.029,2.175,7.204,68.405,NA,0.922,NA,NA,427.8,12.172,36.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1_78","23/07/2015",48.20111111,-1.554722222,2,0.48,"PINE",NA,NA,0.242554495,12.4390243902439,NA,2,NA,17.92,20.359,1.069,1.078,19.0206376503675,2.329,0.9442,5.465,95.2857142857143,52.8,55.82,703.9,51.36,3.913,NA,NA,NA,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.81,62.63,19.56,1026.4,2.5,NA,3.3625,4.08133333333333,270.045,8.9532,NA,5.7635,3.09845,4.9436,0.2218,0.710705,2.857345,0.146755,0.37018,1.74815,NA,2309,0.168,6.38533333333333,11.0886666666667,NA,NA,855.9,756.9,340.69,NA,4.70666666666667,518.1,24.8666666666667,NA,43.18,1304.4,2276.7,NA,NA,NA,NA,NA,2.39206666666667,3.242,3.98,510.066666666667,15.1733333333333,NA,6.956,2.2619,10.243,0.23403,1.43,5.424,0.99,0.6455,3.473,NA,2309,0.232,3.27,14.339,NA,NA,855.9,756.9,340.69,NA,4.687,518.1,26.93,NA,54.84,NA,NA,NA,NA,NA,NA
"1_80","24/07/2015",47.54,-1.801388889,1,0.48,"PINE",NA,"41 - 60",0.102551336,18.5245901639344,NA,2,NA,13.9272727272727,20.4290909090909,1.24636363636364,1.16409090909091,17.8092604713495,2.90590909090909,1.05918181818182,6.76090909090909,467.428571428571,53.4666666666667,50.8318181818182,235.090909090909,69.1954545454546,4.29181818181818,3.545,112.5,23,297.228571428571,5.43223443223443,23.720293040293,0.271029411764706,0.417904761904762,0.241941391941392,1.83442490842491,0.588915708812261,3.24900366300366,0.281642066420664,25.2708737864078,1.08821052631579,5.13589743589744,83.754358974359,17.6924332666667,6.29460273333333,5.790307,42.65879612,7.87399766666667,79.2928147333333,3.88526813333333,8.85491913333333,47.4005494505494,14.5681550909091,11.9185550194907,775.883333333333,-5.5375,34.1625,NA,326.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.04,58.1,25.86,1016.2,2.6,NA,3.2735,4.01266666666667,268.05,8.329,NA,7.7235,5.4898,3.550225,0.265875,0.54906,2.710335,-0.430845,0.73727,1.84895,NA,1693.7,0.201333333333333,5.62106666666667,4.73066666666667,NA,NA,645.3,720.8,39.4,NA,4.68866666666667,478,39.138,NA,35.2333333333333,1730,742.9,NA,NA,NA,NA,NA,4.17773333333333,3.075,3.902,505.333333333333,13.7133333333333,NA,9.613,5.6386,7.552,0.45516,1.131,5.243,0.13831,1.3422,3.382,NA,1693.7,0.285,2.1216,6.137,NA,NA,645.3,720.8,39.4,NA,4.918,478,43.197,NA,45.29,NA,NA,NA,NA,NA,NA
