"SH","binomial","ndiffsite","abn","ndead","hypave","conave","rhizave","ecm_status","unite_taxonomy"
"SH1566369.08FU","Archaeorhizomyces_sp",25,133,6,1.9074074074074,1.01851851851851,1.01851851851851,"no","k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetaceae;g__Archaeorhizomyces;s__Archaeorhizomyces_sp"
"SH1564437.08FU","Oidiodendron_maius",46,118,7,2.24358974358974,1.06410256410256,1.06410256410256,"no","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Myxotrichaceae;g__Oidiodendron;s__Oidiodendron_maius"
"SH1523754.08FU","Hyaloscypha_variabilis",30,83,6,2.07936507936507,1.01587301587301,1,"no","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;s__Hyaloscypha_variabilis"
"SH1566370.08FU","Archaeorhizomyces_sp",27,83,4,1.76470588235294,1,1.05882352941176,"no","k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetaceae;g__Archaeorhizomyces;s__Archaeorhizomyces_sp"
"SH1551240.08FU","Helotiaceae_sp",15,74,14,1.8095238095238,1.03174603174603,1.04761904761904,"no","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__unidentified;s__Helotiaceae_sp"
"SH1523826.08FU","Hyaloscyphaceae_sp",39,66,2,1.92452830188679,1.0188679245283,1.0377358490566,"no","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__unidentified;s__Hyaloscyphaceae_sp"
"SH1647282.08FU","Phialocephala_fortinii",20,35,1,1.84615384615384,1.03846153846153,1.19230769230769,"no","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Vibrisseaceae;g__Phialocephala;s__Phialocephala_fortinii"
"SH1566366.08FU","Archaeorhizomyces_borealis",8,18,1,1.54545454545454,1,1,"no","k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetaceae;g__Archaeorhizomyces;s__Archaeorhizomyces_borealis"
"SH1523871.08FU","Meliniomyces_sp",11,18,0,1.46153846153846,1,1,"no","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Meliniomyces;s__Meliniomyces_sp"
"SH1566373.08FU","Archaeorhizomyces_sp",7,15,0,2.33333333333333,1.06666666666666,1,"no","k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetaceae;g__Archaeorhizomyces;s__Archaeorhizomyces_sp"
"SH1523033.08FU","Leptodontidium_sp",13,14,2,1.33333333333333,1.33333333333333,1,"no","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leptodontidium;s__Leptodontidium_sp"
"SH1639595.08FU","Gloniaceae_sp",13,14,0,4.58333333333333,1,1,"no","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mytilinidales;f__Gloniaceae;g__unidentified;s__Gloniaceae_sp"
"SH1564449.08FU","Oidiodendron_pilicola",8,11,0,1,1.14285714285714,1,"no","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Myxotrichaceae;g__Oidiodendron;s__Oidiodendron_pilicola"
