,ICPF.Nr,Plot,PlotID,LeadPostdoc,sample_date,Plot.Name.Number,code_country,code_plot,Country,Region,code_altitude,plot_size,mean_age,tree_species,mix_descr,mix_stringent,mix,biogeog,latitude,longitude
1,1_6,CHP59,OAK_PLOT3,Laura,08/06/2011,,1,6,France,,3,0.5,61 - 80,OAK,"AG, CB, FS, PA, SR, FE, AP",1,1,Atlantic,50.17111111,3.754444444
2,1_16,CHS35,OAK_PLOT4,Laura,27/06/2011,,1,16,France,,2,0.49,81 - 100,OAK,"CS, CB, FS",1,1,Atlantic,48.17805556,-1.533611111
3,1_17,CHS41,OAK_PLOT5,Laura,07/06/2011,,1,17,France,,3,0.48,81 - 100,OAK,"FS, CB, ST",1,1,Atlantic,47.56916667,1.26
4,1_30,CPS77,OAK_PLOT6,Laura,10/06/2011,,1,30,France,,2,0.49,81 - 100,OAK,"CB, FS, PA",1,1,Atlantic,48.45388889,2.717222222
5,1_37,SV29S,SPRUCE_PLOT29,Sietse,10/07/2015,Thilay,1,37,France,,10,0.52,21 - 40,SPRUCE,one Scots Pine tree,1,0,Continental,49.9475,4.809722222
6,1_41,SV04S,SPRUCE_PLOT4,Sietse,22/10/2013,EPC 63,1,41,France ,Saint-Genes-Champanelle,19,0.51,21 - 40,SPRUCE,a few Birch trees scattered around,1,0,Continental,45.75555556,2.966111111
7,1_46,SV03S,SPRUCE_PLOT3,Sietse,23/10/2013,EPC 87,1,46,France ,Peyrat-Le-Chateau,13,0.5,21 - 40,SPRUCE,a few Larch trees,1,0,Continental,45.8,1.815277778
8,1_57,SV01B,BEECH_PLOT1,Sietse,24/10/2013,HET 30,1,57,France ,Valleraugue,28,0.49,81 - 100,BEECH,no,0,0,Mediterranean,44.11527778,3.543333333
9,1_63,SV16B,BEECH_PLOT16,Sietse,15/08/2014,Ance (HET 64),1,63,France,Pyrinee Atlantique,8,0.51,41 - 60,BEECH,a few Oak trees,1,0,Atlantic,43.15027778,-0.658055556
10,1_78,SV21P,PINE_PLOT21,Sietse,23/07/2015,Liffre,1,78,France,,2,0.48,21 - 40,PINE,mainly Pine and Oak and quite some Beech and Birch as wel,1,1,Atlantic,48.20111111,-1.554722222
11,1_80,SV22P,PINE_PLOT22,Sietse,24/07/2015,Le Gaffre,1,80,France,,1,0.48,41 - 60,PINE,mainly Pine and Sweet Chestnut and quite some Birch a d Oak as well,1,1,Atlantic,47.54,-1.801388889
12,1_84,SV19P,PINE_PLOT19,Sietse,09/07/2015,Hagenue,1,84,France,,4,0.51,61 - 80,PINE,Pine and Beech in almost equal numbers and a few Oak,1,1,Continental,48.85027778,7.710833333
13,1_86,SV20P,PINE_PLOT20,Sietse,22/07/2015,La Mailleraye-sur-Seine,1,86,France,,2,0.49,41 - 60,PINE,Beech and a few Oak,1,1,Atlantic,49.45388889,0.748055556
14,2_1,SV09S,SPRUCE_PLOT9,Sietse,29/04/2014,Willerzie,2,1,Belgium,Walone,10,0.5,41 - 60,SPRUCE,no,0,0,Continental,49.95777778,4.832777778
15,2_9,SV10B,BEECH_PLOT10,Sietse,28/04/2014,Louvain-la-Neuve,2,9,Belgium,Walone,3,0.5,101 - 120,BEECH,some oak,1,1,Atlantic,50.68111111,4.601111111
16,2_11,SV02B,BEECH_PLOT2,Sietse,20/02/2014,Wijnendale,2,11,Belgium,Flanders,1,0.25,NA,BEECH,a few other tree species like Larch and Birch,1,1,Atlantic,51.06972222,3.037222222
17,2_15,SV06P,PINE_PLOT6,Sietse,21/02/2014,Brasschaat,2,15,Belgium,Flanders,1,0.25,NA,PINE,,1,1,Atlantic,51.30777778,4.519722222
18,2_16,16,OAK_PLOT7,Laura,03/11/2010,,2,16,Belgium,Flanders,1,0.25,NA,OAK,"FS, PN, PM, AP, PS, CA, SA, LD, CS, BPB",1,1,Atlantic,50.97527778,3.804166667
19,2_21,SV04B,BEECH_PLOT4,Sietse,21/02/2014,Zoni???n,2,21,Belgium,Flanders,3,0.25,NA,BEECH,,0,0,Atlantic,50.74583333,4.413055556
20,3_175,SV02P,PINE_PLOT2,Sietse,18/09/2013,Leende,3,175,Netherlands,Noord-Brabant,1,0.25,41 - 60,PINE,a fair amount of understorey trees (species).,1,1,Atlantic,51.32194444,5.517777778
21,3_1040,1040,OAK_PLOT8,Laura,23/11/2011,,3,1040,Netherlands,,1,0.26,61 - 80,OAK,"FS, PS;PA, PS, SR, QR, BP, SA",1,1,Atlantic,52.10888889,5.230555556
22,3_2085,SV05P,PINE_PLOT5,Sietse,02/01/2014,Dwingeloo,3,2085,Netherlands,Drenthe,1,0.27,41 - 60,PINE,a fair amount of understorey trees (species).,1,1,Atlantic,52.83888889,6.445833333
23,4_101,SV25B,BEECH_PLOT25,Sietse,14/11/2014,Bornhoeved,4,101,Germany,North West Germany,1,1,NA,BEECH,"some Oak scattered around, the woods surrounding the plot consist of mainly Beech",1,0,Continental,54.10027778,10.2425
24,4_301,SV24B,BEECH_PLOT24,Sietse,13/11/2014,Luess,4,301,Germany,North West Germany,3,0.77,NA,BEECH,some Oak scattered around. The surrounding forest also mainly contains of Beech,1,0,Atlantic,52.83944444,10.26638889
25,4_302,SV22S,SPRUCE_PLOT22,Sietse,16/10/2014,"Lange Bramke, Kamm",4,302,Germany,North West Germany,12,1,NA,SPRUCE,,0,0,Continental,51.85638889,10.41305556
26,4_304,SV22B,BEECH_PLOT22,Sietse,16/10/2014,Solling (Beech),4,304,Germany,North West Germany,11,1,NA,BEECH,quite a few smaller understory Beech and some Spuce,1,1,Continental,51.76138889,9.578055556
27,4_305,SV21S,SPRUCE_PLOT21,Sietse,16/10/2014,Solling (Spruce),4,305,Germany,North West Germany,11,1,NA,SPRUCE,quite a few smaller understory spruce,0,0,Continental,51.76472222,9.579722222
28,4_306,SV29B,BEECH_PLOT29,Sietse,21/04/2015,G???ttingen,4,306,Germany,North West Germany,9,2,NA,BEECH,,0,0,Continental,51.52833333,10.04666667
29,4_307,307,PINE_PLOT37,Filipa,12/11/2008,,4,307,Germany,North West Germany,1,1,NA,PINE,group wise mixture,1,1,Atlantic,52.90777778,7.859166667
30,4_501,501,PINE_PLOT38,Filipa,13/11/2008,,4,501,Germany,North Rhine West-Phalia,1,0.25,61 - 80,PINE,one small Birch,0,0,Atlantic,51.75972222,6.061944444
31,4_502,502,OAK_PLOT10,Laura,22/11/2011,,4,502,Germany,North Rhine West-Phalia,1,0.75,101 - 120,OAK,FS,1,1,Atlantic,51.73,6.1725
32,4_503,SV27B,BEECH_PLOT27,Sietse,06/01/2015,Haard (Recklinghausen),4,503,Germany,North Rhine West-Phalia,2,0.88,101 - 120,BEECH,some young Pine trees in one corner the plot but not in the area where we collected soil samples,1,0,Atlantic,51.68638889,7.260555556
33,4_507,SV35B,BEECH_PLOT35,Sietse,09/07/2015,Monschau,4,507,Germany,North Rhine West-Phalia,9,0.45,> 120,BEECH,quite a few Birch and Pine trees,1,1,Continental,50.67083333,6.251388889
34,4_606,SV21B,BEECH_PLOT21,Sietse,15/10/2014,Zierenberg,4,606,Germany,North West Germany,9,1.28,NA,BEECH,,0,0,Continental,51.37111111,9.267777778
35,4_608,SV20B,BEECH_PLOT20,Sietse,15/10/2014,Kellerwald,4,608,Germany,North West Germany,10,1,NA,BEECH,some other broad leaved trees,1,0,Continental,51.15777778,9.030555556
36,4_701,SV01S,SPRUCE_PLOT1,Sietse,02/10/2013,701 Hermeskeil,4,701,Germany,Rhineland-Palatinate,13,9.9,61 - 80,SPRUCE,a few smaller understory Birch but not where we sampled,1,0,Continental,49.69777778,7.027222222
37,4_705,705,OAK_PLOT11,Laura,12/11/2010,,4,705,Germany,Rhineland-Palatinate,11,9.2,> 120,OAK,FS,1,1,Continental,49.27277778,7.8125
38,4_706,706,OAK_PLOT12,Laura,11/11/2010,,4,706,Germany,Rhineland-Palatinate,3,9.9,81 - 100,OAK,"CB, FS, AS",1,1,Continental,49.02111111,8.130277778
39,4_707,SV03P,PINE_PLOT3,Sietse,01/10/2013,707 Johanniskreuz,4,707,Germany,Rhineland-Palatinate,11,4,> 120,PINE,a mixed forest consisting of Scots Pine (dominant but just) and Beech,1,1,Continental,49.30583333,7.866666667
40,4_901,901,PINE_PLOT42,Filipa,26/10/2008,,4,901,Germany,Bavaria,9,0.2621,81 - 100,PINE,pure,0,0,Continental,49.41361111,11.32166667
